titre;annee;cote;coteNew;auteur;cnpl;compositeur;editeur;livret;fiche;internet;scan;snpls
2000 ANS D'AMOUR;2003;EDIT45-57;;MAZOYER;;GAFAH;ADF;JESUS-CHRIST, 2000 ANS D'AMOUR;11732;*;;
57 ALLELUIAS;1900;AL121;U566;DOMAINE PUBLIC;;COLLECTIF;MAME(LE CHALET);;4053;*;;
A BETHANIE;2008;SX57-14;;CHAPAL;;DELORME;ADF;;14042;*;;
A BETHLEEM JESUS EST NE;2006;F51-83;;BABONNEAU;;NOEL PROVENCAL;BAYARD-LITURGIE;;12960;*;;
A BETHLEEM, LA CITE DU ROI DAVID - PSAUME 71;1989;SYLH33;Z71-5;BOURGEOIS - REVEL;;GOUZES;SYLVANES;NOEL;6900;;*;
A BETHLEHEM;2008;F57-15;;DELORME;;DELORME;ADF;;14043;*;;
A CANA DE GALILEE;1990;U143;X905;GELINEAU;;GELINEAU;STUDIO SM;;13;*;;
À CAPHARNAÜM OÙ TU DESCENDS;2019;EDIT46-77;;BERNARD;;CHAMBELOIS;ADF;;18933;*;;
A CAUSE DE SION;2008;EDIT15-38;;D'APRES Is. 62,1-8;;SIMON;EDITIONS DE L'EMMANUEL;;13356;*;;
A CE MONDE QUE TU FAIS;1987;T146-1;RT146-1;RIMAUD;*;BERTHIER;STUDIO SM; - J BERTHIER 90 CHANTS POUR LA LITURGIE;14;*;;
A CE MONDE QUE TU FAIS;2012;RT63-69-2;;RIMAUD;*;METAYER;ADF;;15668;*;;
A CELUI QUI A POUVOIR;1989;Z500;X992;MOINES DE LIGUGE;;LEMOINE;EUROPART;;5568;*;;
A CELUI QUI A SOIF;1983;ZLH99-3;ZL99-1;CARMEL DE LA PAIX;;GODARD;SODEC;;15;*;;
A CELUI QUI N'ATTEND PLUS RIEN;1994;E15-79;EDIT244;BARROIS;;VEYSSEYRE;STUDIO SM;;4954;;*;
A CELUI QUI NOUS AIME;1956;I43;X782;AP. 1, 5-8;;GEOFFRAY;MAME(LE CHALET);;4138;*;;
A CELUI QUI NOUS AIME;1992;U583;Y583;SCOUARNEC;;AKEPSIMAS;STUDIO SM;;4526;*;;1999
A CELUI QUI VEILLE SUR SA CONDUITE;2017;UZ73-24;;D'APRES AELF;;COMMUNAUTÉ DE L'EMMANUEL;EDITIONS DE L'EMMANUEL;;18552;*;;
A CHAQUE INSTANT DE MA VIE;2003;EDIT45-94;;MANNICK;;AKEPSIMAS;ADF;PRIEZ AVEC LES ENFANTS;11783;*;;
A CHAQUE JOUR SUFFIT SA PEINE;1900;P206;X965;DARRIGAUD;;WACKENHEIM;STUDIO SM;;16;;*;
A CHAQUE JOUR SUFFIT SA PEINE;2008;EDIT16-35;;DELORME;;DELORME;ADF;;14044;*;;
A DEUX SUR LE CHEMIN;2011;EDIT18-90;;BERNARD;;HERVY;ADF;;14910;*;;
A DIEU RIEN D'IMPOSSIBLE;1900;V257;M257;BERNARD;*;WACKENHEIM;STUDIO SM;;17;;*;
A FORCE DE COLOMBE;1991;G524;EDIT245;RIMAUD;*;VILLENEUVE;STUDIO SM;;18;*;;
A JAMAIS, O MARIE;2005;V50-30;;Cté N. D. DES GARDES;;DOURY;EUROPART;;12661;*;;
A JESUS, L’AGNEAU IMMOLE (VICTIMÆ PASCALI);2023;X81-14;;COMMUNAUTÉ DE L'EMMANUEL - LITURGIE CATHOLIQUE ROMAINE;;TRADITIONNEL;EDITIONS DE L'EMMANUEL;;20894;*;;
A L'ABRI DE TES MURAILLES;2018;DEV535;;JOLY;;WACKENHEIM;ADF;;18328;*;;
A L'AMOUR QUE VOUS AUREZ;1993;I14-40;X14-40;BIBLE;;ROBERT;SODEC;;5422;*;;
A L'APPEL DU SEIGNEUR;1997;N24-66;O24-66;MARTIN;;VINCENT;BAYARD-LITURGIE;;8411;;*;
A L'AURORE DE L'UNIVERS;2009;WP57-92-1;;CFC (Frère JEAN-FABRICE);;Sœur CLAIRE;KINNOR;;14252;;*;
A L'AURORE DE L'UNIVERS;2009;WP57-92-2;;CFC (Frère JEAN-FABRICE);;Sœur DOMINIQUE;KINNOR;;14253;;*;
A L'ENSEIGNE DE PAQUE;2005;IP27-32-6;;RIMAUD;*;WACKENHEIM;BAYARD-LITURGIE;;12708;*;;
A L'ENSEIGNE DE PAQUES;1997;I27-32-1;IP27-32-1;RIMAUD;*;LECOT;LETHIELLEUX (DDB);;8690;;*;
A L'ENSEIGNE DE PAQUES;1998;I27-32-2;IP27-32-2;RIMAUD;*;BOHN;CÆCILIA;;8800;*;;
A L'ENSEIGNE DE PAQUES;1999;I27-32-4;IP27-32-4;RIMAUD;*;VILLENEUVE;KINNOR;;9719;*;;
A L'ENSEIGNE DE PAQUES;2001;I27-32-5;IP27-32-5;RIMAUD;*;ROBERT;JUBILUS-VOIX NOUVELLES EDITIONS;;10685;;*;
A L'HEURE DU PLUS GRAND AMOUR;1995;H20-39-1;HX20-39-1;CFC;;THUNUS;JUBILUS-VOIX NOUVELLES EDITIONS;;7904;;*;1993
A L'HEURE DU PLUS GRAND AMOUR;2003;HX20-39-3;;CFC (Frère MAURICE);;ROBERT;KINNOR;;11610;*;;
A L'HEURE DU PLUS GRAND AMOUR;2009;HX20-39-4;;CFC (Frère MAURICE);;METAYER;KINNOR;;14254;*;;
A L'HEURE DU PLUS GRAND AMOUR;2009;HX20-39-5;;CFC (Frère MAURICE);;ROSAZ;KINNOR;;14255;*;;
A L'HEURE DU PLUS GRAND AMOUR - TROPAIRE DU JEUDI SAINT;1988;H191;HX191;CFC;;CAILLAT;STUDIO SM;;19;;*;
A L'HEURE OU DESCEND LE SOIR;1980;PLH174;P544;CFC;;Sœur Bénédicte LIETART;SODEC;;20;*;;
A L'HEURE OU DESCEND LE SOIR;2007;P62-70-2;;CFC (Sœur MARIE-PIERRE);;CARON;EDITIONS LAUDEM;;15424;*;;
A L'HEURE OU JESUS PASSAIT;2002;XL42-74;;AELF;;MAZE;KINNOR;;11052;*;;
A L'HEURE OU LA NUIT EST TOMBEE;1900;H153;EDIT249;GINOT;;GINOT;STUDIO SM;;21;*;;
A L'HEURE OU NOTRE AMI NOUS QUITTE;1978;S74;SP74;DERVOUT;;DERVOUT;STUDIO SM;;7972;;*;
A L'HEURE OU TOMBE LA LUMIERE;1980;P506;;CFC;;BOULLAY;EDITIONS DE L'EMMANUEL;;22;*;;
A L'HEURE OU TOMBE LA LUMIERE;1985;P216;;CFC;;TAMIE;STUDIO SM;;23;;*;
A L'HEURE OU TU CHOISIS;1976;H139;;DUCHESNEAU;;DUCHESNEAU;FLEURUS;;24;;*;
A L'HORIZON DE CE MONDE ENDORMI;2003;ZL(NT)3-5;;AELF - DOMERGUE;;DOMERGUE;STUDIO SM;;12123;;*;
A L'IMAGE DE TON AMOUR;1900;D218;X971;LECOT;;LECOT - TEMPLE;LETHIELLEUX (DDB);SERVIR;25;;*;
A L'INFINI;2020;DEV47-31;;HOLI;;HOLI;ADF;;19540;*;;
A L'OEUVRE DANS NOS VIES;1900;L194;M194;BERNARD;;GERARD;LE TRIFORIUM;;4671;;*;
A L'OMBRE DE TA MAIN;2002;WP43-55-1;;CFC (Frère PIERRE-YVES);;PASQUIER;KINNOR;;11347;*;;
A L'OMBRE DE TA PAIX;1998;K28-57;X28-57;MUTIN;;AKEPSIMAS;STUDIO SM;;8841;*;;
A L'OMBRE DE TES AILES;1996;P24-02;X24-02;BELLOC;;URTEAGA;SODEC;;8341;;*;
A L'ORIENT L'ETOILE A PARU;1946;F44;FP44;GEOFFROY - RIMAUD;;NOEL DANOIS;LE SEUIL;;26;*;;
A L'ORIENT L'ETOILE A PARU;1982;F557;FP557;RIMAUD;;CAROL - DOURY;EUROPART;;7716;*;;2009
A L'ORIENT L'ETOILE A PARU;2004;FP47-65-3;;RIMAUD;;VINCENT;ADF;;12195;*;;2005
A LA COUPE DU SEIGNEUR;1978;WLH182;WX182;LH;;JACOB;SODEC;;27;*;;
A LA CROISEE DE NOS CHEMINS;1986;KT575;EDIT246;GRZYBOWSKI;;GRZYBOWSKI;STUDIO SM;;28;;*;
A LA CROISEE DES CHEMINS;1994;KT15-32;EDIT247;RIGALDO;;RIGALDO;STUDIO SM;;5789;*;;
A LA CROIX JE SUIS ATTACHE;1900;HLH126;HX126;LH;;JACOB;SODEC;;29;*;;
A LA FRACTION DU PAIN;1900;D179;IX179;TASSIN;;TASSIN;STUDIO SM;;5448;;*;
A LA LOUANGE DE TA GLOIRE;2006;EDIT100;;BERNARD;;AKEPSIMAS;ADF;CHEMIN DE LOUANGE - GENÈSES UN MONDE EN CRÉATION;12928;*;;
A LA LOUANGE DE TA GLOIRE;2008;WP56-21-2;;CFC (Sœur MARIE-PIERRE);;JAILLET;KINNOR;;13633;;*;
A LA LOUANGE DE TA GLOIRE;2008;WP56-21-1;;CFC (Sœur MARIE-PIERRE);;Sœur DOMINIQUE;KINNOR;;13812;;*;
A LA LUMIERE DE TA LOI;1996;W20-99;;FRIE;;LECOT;LETHIELLEUX (DDB);EGLISE;8015;;*;
A LA MESURE SANS MESURE;1973;PLH148;MP148;CFC;*;GELINEAU;SODEC;;30;;*;
A LA MESURE SANS MESURE;1900;M51-1;MP51-1;CFC;*;Sœur Esther SCHMUTZ;STUDIO SM;;31;;*;
A LA MESURE SANS MESURE;1972;PLH136;MP136;CFC;*;LA CROIX;SODEC;;32;;*;
A LA MESURE SANS MESURE;1979;PLH135;MP135;CFC;*;Sœur EMMANUEL;SODEC;;33;*;;
A LA MESURE SANS MESURE;1972;PLH134;MP134;CFC;*;LEVY;SODEC;;34;;*;
A LA MESURE SANS MESURE;2003;M11-81-7;MP11-81-7;CFC;*;GAFAH;ADF;JESUS-CHRIST, 2000 ANS D'AMOUR;11659;*;;
A LA MESURE SANS MESURE;2004;MP11-81-8;;CFC (Frère PIERRE-YVES);*;ROBERT;KINNOR;;12218;*;;
A LA MESURE SANS MESURE;2012;MP11-81-9;;CFC;*;WACKENHEIM;BAYARD-LITURGIE;;15748;*;;
A LA MESURE SANS MESURE;2019;MP11-81-10;;CFC (Frère PIERRE-YVES);;CAILLAT;KINNOR;;18983;*;;
A LA PLENITUDE DES TEMPS;2022;P80-19;;LARCHER;;LARCHER;Béatitudes Productions;;20676;*;;
A LA PRIERE DE SAINTE MARIE;1996;B23-50-1;U23-50-1;CFC;;WACKENHEIM;BAYARD-LITURGIE;;8286;;*;
A LA RENCONTRE DU SEIGNEUR;2010;A58-93;;KIEFFER;;KIEFFER;FLEURUS-MAME;;14586;*;;
A LA SAINTE CROIX;1977;HLH101;HU101;LH - TIMADEUC;*;JACOB - TIMADEUC;SODEC;;35;*;;
A LA SOURCE DE TOUT BIEN;2013;DX65-74;;Cté CHEMIN NEUF;;Cté CHEMIN NEUF;A.C.N.;;16047;*;;
A LA SOURCE DES EAUX VIVES;2007;GX53-78;;BERNARD;;HERVY;BAYARD-LITURGIE;;13348;*;;
A LA TABLE DE LEURS NOCES;1969;O18-1;OP18-1;LA TOUR DU PIN;*;BERTHIER - JULIEN;FLEURUS;;36;;*;
A LA TABLE DE LEURS NOCES;1999;O32-88-1;OP32-88-1;LA TOUR DU PIN;*;ROBERT;BAYARD-LITURGIE;;9509;*;;
A LA TABLE DE LEURS NOCES;2001;O32-88-2;OP32-88-2;LA TOUR DU PIN;*;GELINEAU;KINNOR;;10521;*;;
A LA TABLE DE LEURS NOCES;2005;O32-88-3;OP32-88-3;LA TOUR DU PIN;*;LEBRUN;CÆCILIA;;12568;*;;
A LA TABLE DES PECHEURS;1997;A27-61;X27-61;EN CALCAT;;ROBERT;SODEC;;8724;;*;
A LA TABLE DU PARTAGE;1986;D359;;KLINGUER;;PHILIBERT;STUDIO SM;;37;;*;
A LA TABLE DU SEIGNEUR;1993;USC651;D651;CALMEL;;CALMEL;CÆCILIA;;7740;*;;
A LA TOUSSAINT;1996;EDIT20-56;;MANNICK;;AKEPSIMAS;STUDIO SM;;8231;*;;
A LA VENUE DE NOEL;2000;F38-33;EDIT248;DUCHESNEAU;;DUCHESNEAU - NOEL DU 18°s;BAYARD-LITURGIE;;10263;*;;
A LA VICTIME PASCALE;2022;X80-04;;AELF;;RAUCOULES;KINNOR;;20491;*;;
A LA VIE DIEU NOUS APPELLE;2011;G61-69;;BERNARD;;HERVY;ADF;;15221;*;;
A LA VOIX DE L'ANGE;2007;EDIT228;;NIEUVIARTS;;WACKENHEIM;BAYARD-LITURGIE;;13409;*;;
A LA VUE DE L'ETOILE;2013;FX65-22;;AELF;;LIENHARDT;CÆCILIA;;15975;*;;
A LA VUE DES MIRACLES DE JESUS;2011;AX62-37;;AELF;;REBER;CÆCILIA;;15391;*;;
A LUI LA GLOIRE (CANTIQUE DES TROIS ENFANTS);2016;Z(AT)41-2;;D'APRES DANIEL 3;;SAWADOGO;EDITIONS DE L'EMMANUEL;;18737;*;;
A MARIE;1996;V23-63;EDIT250;WARNIER;;WACKENHEIM;STUDIO SM;;8299;;*;
A MARIE;1900;V265;;TOSTAIN;;MOQUET;AIR LIBRE;;8793;;*;
A MON REVEIL;2011;S61-16;;BERNARD;;CHAMBELOIS;BAYARD-LITURGIE;;15136;*;;
A MOTS COUVERTS, EN PARABOLES;2004;X48-28;;BERNARD;;WACKENHEIM;ADF;LE TEMPS DU ROYAUME A;12338;*;;
A NAZARETH;2023;PF81-46;;BERNARD;;AKEPSIMAS;L'ARBRE NOIR;;20959;*;;
A NAZARETH EN GALILEE;2018;V73-69;;Cté CHEMIN NEUF;;Cté CHEMIN NEUF;A.C.N.;;18614;*;;
A NOTRE DIEU;1900;MLH132;MX132;LH;;JACOB;SODEC;;39;*;;
A NOTRE DIEU ET A SON CHRIST;1981;XL506;;AELF;;BERTHIER;STUDIO SM;;40;;*;
A NOTRE IMPATIENCE;1900;Y63;U608;GINOT;;ALLART - GINOT;STUDIO SM;;41;;*;
A NOUS, VIERGE MARIE;2009;EDIT16-74;;FERTIN;;BONNASSIES;ADF;;14291;*;;
A PLEINE VOIX;1995;C21-24;Y21-24;RONDREUX;;RONDREUX;STUDIO SM;;8040;*;;
A PLEINE VOIX CHANTONS POUR DIEU;1900;F180-2SM;FP180-2SM;RIMAUD;;MELODIE DU 16°s;STUDIO SM;CELEBRES CHANTS D'EGLISE AVENT-NOËL VOL 2;42;*;;
A PLEINE VOIX CHANTONS POUR DIEU;2013;FP65-14-2;;RIMAUD;;LEFEBVRE;ADF;;15953;*;;
A PRENDRE OU A LAISSER;1985;D345;EDIT251;GAMBARELLI;;KEMPF;STUDIO SM;;43;;*;
A PRESENT SUR MA ROUTE : MARIE;2004;EDIT29;;GIANADDA;;GIANADDA;STUDIO SM;;12333;*;;
A QUAND LE RETOUR ?;1987;X72;W522;FRIE;;LECOT;LETHIELLEUX (DDB);JESUS;45;;*;
A QUI DONC IRIONS-NOUS, SEIGNEUR ?;2013;WX65-23;;AELF;;DIEUAIDE;CÆCILIA;;15976;*;;
A QUI IRIONS-NOUS;1981;Z562;X562;BOULLAY - D'APRES SAINT JEAN;;BOULLAY;EDITIONS DE L'EMMANUEL;;4842;*;;
A QUI IRIONS-NOUS ?;1973;R28;X761;GRIOLET;;JULIEN;FLEURUS;;46;;*;
A QUI IRIONS-NOUS, DIEU D'AMOUR;2010;EDIT17-51;;GIANADDA;;GIANADDA;ADF;;14504;*;;
A QUI IRIONS-NOUS, SEIGNEUR;1985;SYLT411;Z18-3a;BOURGEOIS - REVEL;;GOUZES;SYLVANES;APOTRES;6847;;*;
À QUI L’ON A BEAUCOUP DONNÉ;2020;X77-23;;AELF;;WACKENHEIM;ADF;;19284;*;;
A QUOI ALLONS-NOUS COMPARER ? - CHANT D'EVANGILE 11ème Dim TO B;2018;XL71-40;;AELF;;WACKENHEIM;ADF;BONNE NOUVELLE 25 CHANTS D'EVG B;18056;*;;
A QUOI SERT LA LUMIERE ;1984;U107;X855;MANNICK;;AKEPSIMAS;STUDIO SM;;44;;*;
A QUOI, MON DIEU, A QUI IRIONS-NOUS;2004;EDIT23;;GIANADDA;;GIANADDA;STUDIO SM;;12325;*;;
A SION, MA MERE;1958;Z86-2a;;DEISS;;DEISS;STUDIO SM;PAROLES DE DIEU;6607;;*;
A SION, MA MERE;1962;Z86-2b;;DEISS;;DEISS;STUDIO SM;PAROLES DE DIEU;6608;;*;
A TES DISCIPLES;1999;A34-89-2;X34-89-2;CFC;*;DUMAS;KINNOR;;9720;*;;
A TES DISCIPLES, TU LIVRES LE SECRET;1985;ULH82;X837;CFC;*;AUDEBERT;SODEC;;48;*;;
A TES PORTES, JERUSALEM;1994;H16-31;HX16-31;BARROIS;;VEYSSEYRE;STUDIO SM;;5845;;*;
A TIBERIADE;1987;U521;X521;L'HOSTE;;CHEVALIER;LE TRIFORIUM;PIERRES D'EGLISE;49;;*;
A TOI CREATEUR DES MONDES;1985;C207;Y207;TAMIE;;TAMIE;STUDIO SM;;1212;*;;
A TOI DIEU;1900;L62-4;YL62-4;AELF;*;GELINEAU;STUDIO SM;;57;;*;
A TOI DIEU;1969;L62-1;YL62-1;AELF;*;JULIEN;FLEURUS;;58;;*;
A TOI DIEU;2005;YL14-53-12;;AELF;*;ROBERT;BAYARD-LITURGIE;;10198;*;;
A TOI DIEU, NOTRE LOUANGE;1977;LLH100;YL100;AELF;*;JACOB;SODEC;;50;;*;
A TOI DIEU, NOTRE LOUANGE;1900;L62-2;YL62-2;AELF;*;GELINEAU;MAME (DESCLEE);;4162;*;;
A TOI DIEU, NOTRE LOUANGE;1993;LL14-53-5;YL14-53-5;AELF;*;DEISS;STUDIO SM;;5273;*;;
A TOI DIEU, NOTRE LOUANGE;1998;LL14-53-6;YL14-53-6;AELF;*;LANGREE - VINCENT;BAYARD-LITURGIE;;9261;*;;
A TOI DIEU, NOTRE LOUANGE;1999;LL14-53-7;YL14-53-7;AELF;*;GODARD;KINNOR;;9721;*;;
A TOI DIEU, NOTRE LOUANGE;2000;PL14-53-9;YL14-53-9;AELF;*;LEMOINE;EUROPART;;10289;*;;
A TOI DIEU, NOTRE LOUANGE;2003;YL14-53-8;;AELF;*;DOURY;EUROPART;;11600;;*;
A TOI DIEU, NOTRE LOUANGE;2003;Z44-57;Y44-57;COMMUNAUTÉ DE L'EMMANUEL;;COMMUNAUTÉ DE L'EMMANUEL;EDITIONS DE L'EMMANUEL;;11633;;*;
A TOI DIEU, NOTRE LOUANGE;2004;YL14-53-10;;AELF;*;GELINEAU;KINNOR;;12219;*;;
A TOI DIEU, NOTRE LOUANGE;2004;YL14-53-11;;AELF;*;GELINEAU;KINNOR;;12220;*;;
A TOI DIEU, NOTRE LOUANGE;2007;YL14-53-13;;AELF;*;CAILLAT;KINNOR;;13314;;*;
A TOI LA GLOIRE;1900;L57;M533;BARROIS;;VEYSSEYRE;STUDIO SM;;51;;*;
A TOI LA GLOIRE, JESUS SAUVEUR;1994;R19-22;Y19-22;DADILLON;;DADILLON;EDITIONS DE L'EMMANUEL;;7729;;*;
A TOI LA LOUANGE;1982;X501;Y509;COMMUNAUTÉ DE L'EMMANUEL;;MORIN;EDITIONS DE L'EMMANUEL;;52;*;;
A TOI LA LOUANGE DES PEUPLES ALLELUIA;1980;C177;U588;DUCHESNEAU;;DUCHESNEAU;FLEURUS;;53;;*;
A TOI LE CHANT;2008;A55-69;;FERTIN;;BONNASSIES;ADF;;13692;*;;
A TOI LE REGNE : ACCLAMATIONS POUR LA MESSE;1900;CL4-2;AL4-2;AELF;;ZURFLUH;STUDIO SM;;54;;*;
A TOI LOUANGE ET GLOIRE - CANTIQUE AT 40;2010;ZL(AT)40-9;;AELF;;COMMUNAUTÉ DE L'EMMANUEL;EDITIONS DE L'EMMANUEL;;14638;*;;
A TOI LOUANGE ET GLOIRE ETERNELLEMENT (A);2006;U69-25;;AELF;;COMMUNAUTÉ DE L'EMMANUEL;EDITIONS DE L'EMMANUEL;;17440;*;;
A TOI LOUANGE ET GLOIRE ETERNELLEMENT (B);2002;U69-26;;AELF;;COMMUNAUTÉ DE L'EMMANUEL;EDITIONS DE L'EMMANUEL;;17441;*;;
A TOI NOS CHANTS, MERE DE DIEU;2003;VA47-23;;ROUCAIROL;;ROUCAIROL;CÆCILIA;;11990;*;;
A TOI NOS CRIS DE JOIE;2008;EDIT15-39;;COMMUNAUTÉ DE L'EMMANUEL;;COMMUNAUTÉ DE L'EMMANUEL;EDITIONS DE L'EMMANUEL;;13516;*;;
A TOI NOS LOUANGES;1900;LLH104;YM104;LH;;JACOB;SODEC;;55;*;;
A TOI NOS VIES;2009;EDIT16-85;;FERTIN;;BONNASSIES;ADF;;14292;*;;
A TOI PERE ETERNEL;1977;LLH108;U555;ORVAL;;BACH - MARTIN;SODEC;;4912;*;;
A TOI SEIGNEUR LA GLOIRE ET LA PUISSANCE;1986;C519;Z(NT)519;D'APRES APOC. 19;;BARANGER;EDITIONS DE L'EMMANUEL;;56;*;;
A TOI, DIEU SAINT (TRINITE);1974;L123;MY123;DUCHESNEAU;;"CHORAL LUTHERIEN ""ALLEIN GOTT"" - JULIEN";FLEURUS;;59;;*;
A TOI, DIEU, NOTRE LOUANGE - PSAUME 21;2008;ZL21-16;;AELF;;DUMENIL;ADF;;14067;*;;
A TOI, DIEU, NOTRE LOUANGE AU MILIEU DE L'EGLISE;2016;UZ72-81;;D'APRES AELF;;COMMUNAUTÉ DE L'EMMANUEL;EDITIONS DE L'EMMANUEL;;18509;*;;
A TOI, DIEU, NOUS RENDONS GRACE;1981;XL507;;AELF;;BERTHIER;STUDIO SM;;60;;*;
A TOI, DIEU, NOUS RENDONS GRACE;1981;XL508;;AELF;;BERTHIER;STUDIO SM;;61;;*;
A TOI, HAUTE GLOIRE;2017;UZ73-03;;D'APRES AELF;;COMMUNAUTÉ DE L'EMMANUEL;EDITIONS DE L'EMMANUEL;;18531;*;;
A TOI, LA LOUANGE;2001;U41-02;Y41-02;Cté N. D. DES GARDES;;LEMOINE;EUROPART;;10728;;*;
A TOI, LOUANGE ET GLOIRE;1900;AT40-1;ZL(AT)40-1;AELF;;TASSIN;SODEC;;5649;;*;
A TOI, LOUANGE ET GLOIRE - CANTIQUE AT 40;2012;ZL(AT)40-10;;AELF;;OUDOT;ADF;;15601;*;;
A TOI, LOUANGE ET GLOIRE ! CANTIQUE DE DANIEL AT 40;2007;ZL(AT)40-5;;AELF;;DUMENIL;ADF;PSAUMES DIMANCHES ET FETES - ANNÉE A;13485;*;;
A TOI, PUISSANCE ET GLOIRE;1998;A29-45;Y29-45;BARANGER;;BARANGER;EDITIONS DE L'EMMANUEL;;9078;;*;
A TOI, SEIGNEUR;1978;LLH12;YL12;ANONYME;;JACOB;SODEC;;62;*;;
A TOI, SEIGNEUR NOTRE CHANT;2004;Y43-81;;DUCHESNEAU;;CHAPELET - DOMAINE PUBLIC;JUBILUS-VOIX NOUVELLES EDITIONS;;11511;;*;
A TOI, SEIGNEUR, GLOIRE ET LOUANGE ÉTERNELLEMENT;2001;L39-65;MX39-65;GAMBARELLI;;WACKENHEIM;BAYARD-LITURGIE;;10438;*;;
A TOI, SEIGNEUR, NOS CHANTS DE JOIE;2001;P40-96;;ORY;;DOURY - FOLKLORE NORDIQUE;EUROPART;;10720;*;;
A TON APPEL, DIEU PARMI NOUS;1997;R26-81;EDIT252;BERNARD;;AUBRY;STUDIO SM;;8637;*;;
A TON IMAGE ET RESSEMBLANCE;2005;X49-61;;BERNARD;;WACKENHEIM;ADF;GENÈSES UN MONDE EN CRÉATION - LE TEMPS DU ROYAUME B;12575;*;;
A TON NOM DONNE LA GLOIRE ;1985;RP113-3;ZL113-2b;AELF;;ROZIER;STUDIO SM;;2732;;*;
A TOUS LES ANIMAUX DU MONDE;2002;EDIT43-14;;MANNICK;;AKEPSIMAS;STUDIO SM;;11121;*;;
A TOUS NOS RENDEZ-VOUS;2005;EDIT67;;BOUREL;;BOUREL;ADF;COMME UN RENDEZ-VOUS;12548;*;;
A TOUTES LES NATIONS DU MONDE;1991;T524;X524;AELF - RIMAUD;;BERTHIER;STUDIO SM;;63;*;;
A TRAVERS UN VISAGE D'HOMME;2007;HX55-11;;BENEDICTINES DE MONTMARTRE;;ROBERT;ADF;AIMONS-NOUS LES UNS LES AUTRES;13595;*;;
A UN SAINT;1956;W8;WX8;JULIEN;;JULIEN;FLEURUS;;64;;*;
A UNE SAINTE;1956;W9;WX9;JULIEN;;JULIEN;FLEURUS;;65;;*;
A VIN NOUVEAU, OUTRES NEUVES;2018;XL71-34;;AELF;;WACKENHEIM;ADF;BONNE NOUVELLE 25 CHANTS D'EVG B;18052;*;;
A VOUS LA PAIX;1956;N14;X747;JULIEN;;JULIEN;FLEURUS;;67;;*;
A VOUS LE BONHEUR;1994;W16-91;X16-91;BARROIS;;VEYSSEYRE;STUDIO SM;;5905;;*;
A VOUS QUI CHERCHEZ DIEU - PSAUME 68;2007;ZL68-4;;AELF;;ALES;ADF;PSAUMES DIMANCHES ET FETES - ANNÉE A;13491;*;;
A VOUS QUI CHERCHEZ DIEU - PSAUME 68;2011;ZL68-5;;AELF;;BOHN;CÆCILIA;;14995;*;;
ABBA;1998;W29-64;;CARMEL DE MURET;;CARMEL DE MURET;CARMELODIE;;9098;;*;
ABBA;2015;DEV483;;D'APRES SAINT JEAN;;Sœur AGATHE DUTREY;ADF;;16724;*;;
ABBA ! PERE !;1993;D12-04;EDIT253;DOMAINE PUBLIC;;DEISS;STUDIO SM;;5097;*;;
ABBAYES;2005;DEV8;;BOUREL;;BOUREL;STUDIO SM;;12485;*;;
ABECEDAIRE;1997;EDIT21-67;;BOULLAY;;BOULLAY;EDITIONS DE L'EMMANUEL;;16390;*;;
ABER DU WEISST DEN WEG FUR MICH;2007;DEV46-68;;TAIZE;;TAIZE;ATELIERS ET PRESSES DE TAIZÉ;;19449;*;;
ABRAHAM A PRIS LA ROUTE;1989;U64;X803;MANNICK;;AKEPSIMAS;AIR LIBRE;;68;;*;
ABRAHAM EST PARTI;2011;P62-01;;JOLY;;WACKENHEIM;ADF;VISAGE SI RADIEUX;15326;*;;
ABRAHAM ET LE PEUPLE DE DIEU;1983;Z540;EDIT254;COLOMBIER;;COLOMBIER;AIR LIBRE;;3921;;*;
ABRAHAM EUT FOI DANS LE SEIGNEUR;2001;G40-08;GX40-08;ARMAND;;GELINEAU;KINNOR;;10500;*;;
ABRAHAM, TU ES PARTI ...;1900;T87;OX87;DEBRUYNNE;;WACKENHEIM;STUDIO SM;;69;;*;
ABREUVE-TOI AUPRES DU CHRIST;1999;D32-52;DEV52;SAINT AMBROISE;;ROBERT;ADF;LA SOURCE DE LA VIE - SOURCE;9470;*;;
ACCLAMATION;1962;A34-bis;Z99-4;LECLERCQ;;DEISS;STUDIO SM;;6232;;*;
ACCLAMATION;1900;A34;Z99-3;LECLERCQ;;DEISS;STUDIO SM;;6368;;*;
ACCLAMATION;1995;HU59-62;;D'APRES PHIL. 2;;BONHOMME;NOVALIS;;14722;*;;
ACCLAMATION A L'EVANGILE;2003;GU46-46;;AKEPSIMAS;;AKEPSIMAS;BAYARD-LITURGIE;;11847;*;;
ACCLAMATION A L'EVANGILE;2021;AL79-23;;AELF;;LAFARGUE;JUBILUS-VOIX NOUVELLES EDITIONS;;20120;*;;
ACCLAMATION A L'EVANGILE - VIGILE PASCALE;2016;AL69-79;;AELF;;LIENHARDT;CÆCILIA;;17519;*;;
"ACCLAMATION A L'EVANGILE ""RORATE""";2009;EU58-02;;AELF;;LEBON;KINNOR;;14267;*;;
ACCLAMATION A L'EVANGILE (MESSE CHRISMALE);2022;AL79-92;;DUCATEL;;ROBERT;ADF;;20492;*;;
ACCLAMATION A L'EVANGILE POUR LE JEUDI SAINT;2003;HU44-43-1;;CFC;;ROBERT;KINNOR;;11611;*;;
