titre;annee;cote;coteNew;auteur;cnpl;compositeur;editeur;livret;fiche;internet;scan;snpls
RECEVONS LE CORPS SACRE;2000;D37-36;;D'APRES LES FRAGMENTS LITURGIQUES 3°s ET 4°s.;;ROBERT;BAYARD-LITURGIE;;10143;*;;
RECHERCHEZ LES CHOSES D'EN HAUT;1998;D30-29;JP30-29;ORY;;DOURY;EUROPART;;9173;;*;
RECOIS CETTE HUILE PARFUMEE;2006;N51-71;;SCIAKY;;BOUREL;ADF;FAIS JAILLR LA VIE;12933;*;;
RECOIS EN CE JOUR NOTRE AMEN;2018;OD72-12;;HAMZA;;DECLEIRE;JUBILUS-VOIX NOUVELLES EDITIONS;;18172;*;;
RECOIS LA MARQUE DE L'ESPRIT;1993;K13-38;NK13-38;MUTIN;;AKEPSIMAS - VALENTIN;STUDIO SM;;5349;*;;
RECOIS NOS LOUANGES;1985;V592;;KITA;;KITA;STUDIO SM;;2981;;*;
RECOIS NOS VIES;2017;DEV558;;COMMUNAUTÉ DE L'EMMANUEL;;COMMUNAUTÉ DE L'EMMANUEL;EDITIONS DE L'EMMANUEL;;18723;*;;
RECOIS NOTRE PRIERE - PSAUME 60;2003;Z60;;KIRCHHOFFER;;HAYDN;CÆCILIA;;12002;*;;
RECOIS-LE AUPRES DE TOI;1983;S59-74;;VAILLANCOURT;;VAILLANCOURT;NOVALIS;;14736;*;;
RECOIS-LES DANS TA LUMIERE;1994;S16-85;;BARROIS;;VEYSSEYRE;STUDIO SM;;5899;;*;
RECOIS, O MON SEIGNEUR;2001;L40-14-1;O40-14-1;RIMAUD;*;GODARD;KINNOR;;10506;*;;
RECONCILIES PAR JESUS CHRIST;1998;G29-10;R29-10;BERNARD;;CHLEIDE;BAYARD-LITURGIE;;7793;*;;
RECONCILIEZ-VOUS;1900;G165;EDIT12-00;LITTLETON;;LITTLETON;STUDIO SM;;2982;*;;
RECONCILIONS-NOUS POUR UNE VIE NOUVELLE;1900;G168;EDIT12-01;FAU;;FAU;STUDIO SM;;2983;;*;
RECUEILLONS-NOUS;2008;MP56-39-1;;CFC (Sœur MARIE-MADELEINE);;BRAZIER;KINNOR;;13839;;*;
REDRESSEZ-VOUS ET RELEVEZ LA TETE;1983;SYLG524;Z79-2;BOURGEOIS - REVEL;;GOUZES;SYLVANES;AVENT;6912;;*;
REFLET DE LA MAISON DU PERE;1996;R20-93;EDIT12-02;FRIE;;LECOT;LETHIELLEUX (DDB);EGLISE;8009;;*;
REFLETS DU DIEU VIVANT;2012;W64-43;;BERNARD;;AKEPSIMAS;ADF;;15843;*;;
REFLETS DU DIEU VIVANT;2014;W64-43-2;;BERNARD;;VIAU;BAYARD-LITURGIE;;16314;*;;
REFRAINS D'ACTION DE GRACE;1900;C142;U572;GUILLOU;;GUILLOU;STUDIO SM;;2984;;*;
REFRAINS DE CAREME;1979;GLH118-2;GU118-2;ANONYME;;CHAMBARAND - CLAIRVAL - ORVAL - TOURNAY;SODEC;;2985;*;;
REFRAINS DE CAREME;1979;GLH118-1;GU118-1;LH;;JACOB;SODEC;;2986;*;;
REFRAINS DE PRIERE UNIVERSELLE;2012;U63-06;;CFC;;DUMAS;KINNOR;;15530;*;;
REFRAINS DE PRIERE UNIVERSELLE, ANAMNESE, PRIERE UNIVERSELLE;1983;BL509;UL509;AELF;;DOURY;EUROPART;;6099;;*;
REFRAINS DE PRIERES LITANIQUES;1978;YLH122;U567;BARROIS;;VEYSSEYRE;SODEC;;2707;*;;
REFRAINS DE PRIERES LITANIQUES;1982;LLH113;U559;ANONYME;;AUDEBERT;SODEC;;2713;;*;
REFRAINS DE PRIERES LITANIQUES;1900;Y33;U628;DEBAISIEUX;;DEBAISIEUX - LITTLETON;STUDIO SM;;2987;;*;
REFRAINS DE PRIERES LITANIQUES;1974;YLH121;U565;LA ROCHETTE;;Sœur Bénédicte LIETART;SODEC;;2988;;*;
REFRAINS DE TEMPS PASCAL;1979;ILH157-3;IU157-3;ANONYME;;CLAIRVAL;SODEC;;2989;*;;
REFRAINS DE TEMPS PASCAL;1979;ILH157-2;IU157-2;ANONYME;;CLAIRVAL - ORVAL - TOULMONDE;SODEC;;2990;*;;
REFRAINS DE TEMPS PASCAL;1979;ILH157-1;IU157-1;LH;;JACOB;SODEC;;2991;*;;
REFRAINS INVITATOIRES;1977;PLH155;U574;LH;;JACOB;SODEC;;2992;*;;
REFRAINS POUR LA LITURGIE DE LA PAROLE;1900;U32;;AELF;;GUILLOU;STUDIO SM;;2993;;*;
REFRAINS POUR LA PRIERE;1985;Y55;U629;SCOUARNEC;;SCOUARNEC;STUDIO SM;;2994;;*;
REFRAINS POUR LA PRIERE UNIVERSELLE;1900;Y54;U630;GUILLOU;;GUILLOU;STUDIO SM;;2995;;*;
REFRAINS POUR LA SUPPLICATION;1900;Y27;U695;DEISS;;DEISS;STUDIO SM;;6360;;*;
REFRAINS POUR LES CELEBRATIONS;1900;Y50;U598;AKEPSIMAS;;AKEPSIMAS;STUDIO SM;;6210;*;;
REFRAINS POUR PRIERE EUCHARISTIQUE - ASSEMBLEE D'ENFANTS N°1;1993;CL12-90;C12-90;AELF;;COLOMBIER - GERARD;AIR LIBRE;;5301;;*;
REFRAINS POUR UNE FETE DE LA VIERGE MARIE;1900;V196;;GUILLOU;;GUILLOU;STUDIO SM;;2996;;*;
REFRAINS PSALMIQUES;1998;X31-03;U31-03;DELAUNAY;;DELAUNAY;EDITIONS DE L'EMMANUEL;;9257;;*;
REGAGNONS LA MONTAGNE;1985;T545;;GIANADDA;;GIANADDA;STUDIO SM;;2997;*;;
REGARD DE TENDRESSE, MARIE NOTRE MERE;1996;V22-45;DEV286;BERNARD - Sœur ANNE PREVOST;;WACKENHEIM;STUDIO SM;;8163;*;;
REGARDE AVEC AMOUR - AUTRE TITRE : EGLISE DE CE TEMPS;2005;K35-64-2;;RIMAUD;*;PECHABADENS;AIR LIBRE;;12621;;*;
REGARDE AVEC AMOUR - AUTRE TITRE : EGLISE DE CE TEMPS;2006;K35-64-3;;RIMAUD;*;CRAIPEAU;JUBILUS-VOIX NOUVELLES EDITIONS;;12901;*;;2013
REGARDE CE LIVRE;2000;KT36-34;EDIT12-03;HUMENRY;;HUMENRY;STUDIO SM;;9936;*;;
REGARDE DIEU;1996;KT24-12;EDIT12-04;SCIAKY;;WACKENHEIM;STUDIO SM;;8352;*;;
REGARDE ET CONSIDERE;1999;U34-79-1;;CFC;;BERTHIER;BAYARD-LITURGIE;;9709;;*;
REGARDE ET REPONDS-MOI;1988;P504;;DADILLON;;DADILLON;EDITIONS DE L'EMMANUEL;;2998;*;;
REGARDE L'ETOILE;2012;V74-14;;COMMUNAUTÉ DE L'EMMANUEL;;COMMUNAUTÉ DE L'EMMANUEL;EDITIONS DE L'EMMANUEL;;17677;*;;
REGARDE LE MONDE;1993;KT12-48;EDIT12-05;HUMENRY;;HUMENRY;ADF; - SUR LES PAS DE CLAIRE D'ASISE;5259;*;;
REGARDE NOS CŒURS EMMANUEL;1989;E513;;GAUD;;COLOMBIER;LE TRIFORIUM;SUR LES CHEMINS DE JESUS;2999;;*;
REGARDE NOTRE PEINE;1900;S36;;DEVALIERE;;AKEPSIMAS;STUDIO SM;;5500;;*;
REGARDE OU NOUS RISQUONS D'ALLER;1900;I97-1;IP97-1;RIMAUD;*;GELINEAU;STUDIO SM;;3000;*;;
REGARDE OU NOUS RISQUONS D'ALLER;1988;I97-4;IP97-4;RIMAUD;*;DUMAS;STUDIO SM;;3001;*;;
REGARDE OU NOUS RISQUONS D'ALLER;1900;I97-3;IP97-3;RIMAUD;*;AKEPSIMAS;STUDIO SM;;3002;;*;
REGARDE OU NOUS RISQUONS D'ALLER;1979;ILH110;IP110;RIMAUD;*;RIMAUD;SODEC;;3003;*;;
REGARDE OU NOUS RISQUONS D'ALLER;1970;ILH109;IP109;RIMAUD;*;DALMAS;SODEC;;3004;;*;
REGARDE OU NOUS RISQUONS D'ALLER;1900;I97-2;IP97-2;RIMAUD;*;AKEPSIMAS - ROZIER;MAME(LE CHALET);;4145;*;;
